query-id	corpus-id	score
c9076d62149e	526b1388fc53	1
5defd3ca6984	333ba12ca8c0	1
fdb7955482fd	63d97be50646	1
f342d8d5a811	0bc9c8ea5a51	1
d191ea499cb1	80bc72bac3ec	1
6843f637bba1	71015092e64c	1
332522072682	beb6f3de4e23	1
f32f4ef3b507	4ecc69e25550	1
5d241a3da8dd	99954f2f673b	1
3a5ea69e79d6	494cf73f5ac5	1
7eca7aead6e4	3d9c59ab4a8b	1
19362e03400b	173cb4a84ca2	1
986874a2dfca	494cf73f5ac5	1
e51574bce4ba	8545e0feadf1	1
2d17ff95bc2e	8cc9e1374b66	1
16efdcef67c1	5e98771724d1	1
53994885dfed	c6a8da9d44dc	1
c7a7dfc374ae	5ec84ea264fb	1
ded3d323a02f	8373c9e53878	1
b1d78bc2a0df	ba655dd0609f	1
1450fc8f149d	f9461bc518a4	1
67f99d9cad88	60267405074f	1
c10baa7b68ab	43600a590a98	1
c7efce791ee2	91947c9523df	1
8b5867422ec8	127d9bf869c8	1
55eb0aceda7e	50624b6727c7	1
a8b6a5466053	4ecc69e25550	1
86a1bdafbcbb	3c8335a86ede	1
1bd0b5c1c169	6ee9890927a1	1
53722b4a36bc	0b27115998a0	1
9b38d8e49ddc	fcf85ceec564	1
d251e448a33f	395253669f4a	1
096508f7911c	9ef4577ae9a5	1
a708f3018842	f7e0ca7225d3	1
6249c95caab7	2c79cbb868cb	1
d64e9ac772da	b7557a8fe217	1
c8aa28200297	e0cd0bdcc223	1
bce378ebfa17	e08c6cd2f6ae	1
fb8c414ccf31	7b91eb12132a	1
65daf0028b2c	15e456340265	1
d57ef21b4536	1c69ae4e40a4	1
9a0c70bb0d04	4bd11bbb1139	1
dab2cec4e447	e08c6cd2f6ae	1
1f21fc53444c	7b91eb12132a	1
c904ec348606	223013e8ae52	1
5f6bb0b5dbd3	f332a51c20a9	1
f05c24733134	4ecc69e25550	1
76bff73b7f79	be2949f41d34	1
ec6b709b73cb	1f68eb2ae349	1
b3738b4c8ae8	9dd24c9018f9	1
fd7740f764b8	92532336ced0	1
8d9e855da033	4ecc69e25550	1
961eb30940b0	0c156eb67240	1
cf82be0f125f	4f87b36fcd60	1
96ecdb9debd8	836db1169788	1
fde9873723fc	4ecc69e25550	1
e4b40ecd8e45	df2ea6e57383	1
a39c56a6a398	3cfcb6f2c895	1
bae536d7590e	7f06eb6168f9	1
12fab4b59175	fd45c503c0af	1
92483e0bb743	37e27a22aa3a	1
03f80685810e	7f06eb6168f9	1
bf37366def28	4ecc69e25550	1
733121da1932	a67f0ec9ac95	1
7f6c2da9f26a	66557d85aae3	1
4b8af0463adc	801fee4591d8	1
75b8a252a616	06100c323eac	1
2cffae190b13	006eee45a12e	1
53a5e6de944a	da009b62a4ca	1
5bb4143f2a9e	494cf73f5ac5	1
